词语,拼音,频序号
面授,miànshòu,30072
免礼,miǎnlǐ,45146
面红耳赤,miànhóngěrchì,22578
面授机宜,miànshòujīyí,46023
免票,miǎnpiào,27920
面糊,miànhù,46329
面熟,miànshú,26120
免去,miǎnqù,9078
面糊,miànhu,51395
面塑,miànsù,49524
免试,miǎnshì,32725
面黄肌瘦,miànhuángjīshòu,39916
面瘫,miàntān,56549
免收,miǎnshōu,14217
面积,miànjī,1234
面谈,miàntán,21590
免受,miǎnshòu,17365
面颊,miànjiá,16436
面汤,miàntāng,43391
免税,miǎnshuì,14678
面交,miànjiāo,46022
面条儿,miàntiáor,11222
免税店,miǎnshuìdiàn,44608
面巾,miànjīn,51396
面团,miàntuán,36367
免俗,miǎnsú,38868
面巾纸,miànjīnzhǐ,52651
面晤,miànwù,55648
免刑,miǎnxíng,51812
面筋,miànjin,40561
面向,miànxiàng,2131
免验,miǎnyàn,54628
面具,miànjù,15007
面相,miànxiàng,27923
免役,miǎnyì,43134
面孔,miànkǒng,4652
面谢,miànxiè,49159
免疫,miǎnyì,6174
面料,miànliào,11897
面议,miànyì,40143
免疫力,miǎnyìlì,16687
面临,miànlín,1516
面有难色,miànyǒunánsè,41674
免予,miǎnyǔ,30507
面码儿,miànmǎr,55168
面罩,miànzhào,27429
免遭,miǎnzāo,21089
面貌,miànmào,2975
面值,miànzhí,18888
免战牌,miǎnzhànpái,52650
面门,miànmén,54630
面砖,miànzhuān,52652
免征,miǎnzhēng,11298
面面观,miànmiànguān,41224
面子,miànzi,5355
免职,miǎnzhí,11649
面面俱到,miànmiànjùdào,34416
喵,miāo,43616
免罪,miǎnzuì,34696
面面相觑,miànmiànxiāngqù,16496
苗,miáo,4218
勉力,miǎnlì,30179
面膜,miànmó,45730
苗床,miáochuáng,46633
勉励,miǎnlì,11256
面目,miànmù,8065
苗木,miáomù,10695
勉强,miǎnqiǎng,4380
面目全非,miànmùquánfēi,22515
苗圃,miáopǔ,13466
勉为其难,miǎnwéiqínán,37745
面目一新,miànmùyīxīn,44139
苗期,miáoqī,47208
娩出,miǎnchū,54629
面庞,miànpáng,18145
苗情,miáoqíng,42618
缅甸,miǎndiàn,6032
面皮,miànpí,26061
苗条,miáotiao,18627
缅怀,miǎnhuái,9487
面片儿,miànpiànr,42369
苗头,miáotou,15328
腼腆,miǎntiǎn,15349
面洽,miànqià,53102
苗语,miáoyǔ,49160
苗寨,miáozhài,34276
妙语,miàoyǔ,33759
民居,mínjū,13266
苗子,miáozi,14465
妙招儿,miàozhāor,50270
民力,mínlì,23186
苗族,miáozú,12449
庙,miào,3934
民品,mínpǐn,25377
描,miáo,13637
庙会,miàohuì,10733
民企,mínqǐ,6007
描红,miáohóng,46024
庙堂,miàotáng,26914
民气,mínqì,32326
描画,miáohuà,25616
庙宇,miàoyǔ,15635
民情,mínqíng,7221
描绘,miáohuì,5311
庙祝,miàozhù,49165
民权,mínquán,23853
描金,miáojīn,34840
乜斜,miēxie,39077
民生,mínshēng,9606
描眉,miáoméi,44387
咩,miē,40782
民事,mínshì,4610
描摹,miáomó,24454
灭,miè,3343
民事法庭,mínshìfǎtíng,50271
描述,miáoshù,4692
灭顶,mièdǐng,28174
民事权利,mínshìquánlì,29637
描图,miáotú,51814
灭顶之灾,mièdǐngzhīzāi,25439
民事诉讼,mínshìsùsòng,12206
描写,miáoxiě,3252
灭火,mièhuǒ,12643
民事责任,mínshìzérèn,17473
瞄,miáo,13613
灭火剂,mièhuǒjì,51012
民俗,mínsú,4317
瞄准,miáozhǔn,7614
灭火器,mièhuǒqì,31054
民宿,mínsù,26268
秒,miǎo,2689
灭迹,mièjì,39284
民团,míntuán,30181
秒表,miǎobiǎo,47209
灭绝,mièjué,11564
民望,mínwàng,40340
秒杀,miǎoshā,16788
灭菌,mièjūn,25551
民校,mínxiào,49914
秒针,miǎozhēn,41905
灭口,mièkǒu,38286
民心,mínxīn,5118
渺茫,miǎománg,14408
灭门,mièmén,38484
民选,mínxuǎn,25182
渺渺,miǎomiǎo,37567
灭杀,mièshā,51013
民谚,mínyàn,37570
渺无人烟,miǎowúrényān,49912
灭亡,mièwáng,9716
民谣,mínyáo,20464
渺小,miǎoxiǎo,15350
灭种,mièzhǒng,41225
民意,mínyì,4874
藐视,miǎoshì,20351
灭族,mièzú,38870
民意测验,mínyìcèyàn,19156
邈远,miǎoyuǎn,54115
蔑称,mièchēng,48474
民营,mínyíng,3596
妙,miào,5872
蔑视,mièshì,14038
民用,mínyòng,7113
妙笔,miàobǐ,37568
篾篓,mièlǒu,56551
民怨,mínyuàn,34417
妙笔生花,miàobǐshēnghuā,49161
篾片,mièpiàn,47210
民约,mínyuē,46025
妙不可言,miàobùkěyán,31169
民,mín,637
民乐,mínyuè,15731
妙策,miàocè,40781
民办,mínbàn,4742
民运,mínyùn,28777
妙处,miàochù,30180
民变,mínbiàn,44859
民贼,mínzéi,50618
妙法,miàofǎ,32088
民兵,mínbīng,3877
民宅,mínzhái,22145
妙方,miàofāng,49162
民不聊生,mínbùliáoshēng,29341
民政,mínzhèng,7319
妙计,miàojì,22096
民调,míndiào,9224
民脂民膏,mínzhīmíngāo,46931
妙境,miàojìng,50269
民法,mínfǎ,11419
民智,mínzhì,19029
妙诀,miàojué,56550
民房,mínfáng,16395
民众,mínzhòng,2501
妙龄,miàolíng,33890
民愤,mínfèn,32599
民主,mínzhǔ,969
妙论,miàolùn,49163
民风,mínfēng,15773
民主党派,mínzhǔdǎngpài,5258
妙年,miàonián,49913
民夫,mínfū,39705
民主改革,mínzhǔgǎigé,21348
妙品,miàopǐn,50617
民歌,míngē,8860
民主革命,mínzhǔgémìng,11786
妙趣,miàoqù,46330
民工,míngōng,3635
民主集中制,mínzhǔjízhōngzhì,8788
妙趣横生,miàoqùhéngshēng,29532
民国,mínguó,6351
民主人士,mínzhǔrénshì,25838
妙手回春,miàoshǒuhuíchūn,44140
民航,mínháng,4837
民资,mínzī,19651
妙算,miàosuàn,49164
民家,mínjiā,37569
民族,mínzú,361
妙药,miàoyào,46331
民间,mínjiān,1378
民族共同语,mínzúgòngtóngyǔ,56162
妙用,miàoyòng,33369
民警,mínjǐng,2942
民族英雄,mínzúyīngxióng,19054
民族运动,mínzúyùndòng,46026
名角,míngjué,24501
名义,míngyì,3461
民族主义,mínzúzhǔyì,12878
名利,mínglì,12363
名优,míngyōu,13115
民族资本,mínzúzīběn,42127
名利场,mínglìchǎng,48477
名优产品,míngyōuchǎnpǐn,35482
民族自决权,mínzúzìjuéquán,40562
名列,míngliè,7092
名誉,míngyù,5334
抿,mǐn,10115
名列前茅,mínglièqiánmáo,14289
名誉权,míngyùquán,27062
抿嘴,mǐnzuǐ,21433
名流,míngliú,17412
名誉扫地,míngyùsǎodì,46027
泯灭,mǐnmiè,21765
名录,mínglù,13251
名噪一时,míngzàoyīshí,37746
泯没,mǐnmò,55169
名落孙山,míngluòsūnshān,37027
名正言顺,míngzhèngyánshùn,19947
闽,mǐn,8697
名满天下,míngmǎntiānxià,47528
闽方言,mǐnfāngyán,56777
名门,míngmén,29638
名著,míngzhù,8839
闽剧,mǐnjù,48475
名模,míngmó,43906
名状,míngzhuàng,30290
敏,mǐn,5980
名目,míngmù,11388
名字,míngzi,1216
敏感,mǐngǎn,4020
名牌,míngpái,4727
名嘴,míngzuǐ,55649
敏慧,mǐnhuì,48476
名篇,míngpiān,22354
名作,míngzuò,19430
敏捷,mǐnjié,11606
名片,míngpiàn,7712
明,míng,1091
敏锐,mǐnruì,7589
名品,míngpǐn,36368
明儿,míngr,15693
名,míng,102
名气,míngqi,9895
明摆着,míngbǎizhe,16995
名不副实,míngbùfùshí,36206
名曲,míngqǔ,22047
明白,míngbai,989
名不见经传,míngbùjiànjīngzhuàn,23635
名人,míngrén,4117
明白人,míngbairén,20432
名人效应,míngrénxiàoyìng,47211
明补,míngbǔ,53597
名不虚传,míngbùxūchuán,26414
名儒,míngrú,44609
明察,míngchá,30291
名菜,míngcài,33370
名山大川,míngshāndàchuān,31055
明察秋毫,míngcháqiūháo,37931
名册,míngcè,26564
名声,míngshēng,9174
明澈,míngchè,36207
名茶,míngchá,33891
名胜,míngshèng,13158
明处,míngchù,30729
名产,míngchǎn,46932
名胜古迹,míngshènggǔjì,18628
明春,míngchūn,41020
名称,míngchēng,3412
名师,míngshī,16623
明达,míngdá,40783
名城,míngchéng,703
名实,míngshí,39495
明灯,míngdēng,28948
名厨,míngchú,45732
名实相符,míngshíxiāngfú,48129
明断,míngduàn,48785
名垂千古,míngchuíqiāngǔ,51397
名士,míngshì,14857
明矾,míngfán,42620
名垂青史,míngchuíqīngshǐ,42619
名手,míngshǒu,36369
明沟,mínggōu,48786
名词,míngcí,6922
名宿,míngsù,43392
明后天,mínghòutiān,33614
名次,míngcì,11396
名堂,míngtang,13668
明黄,mínghuáng,49167
名存实亡,míngcúnshíwáng,28505
名特优新,míngtèyōuxīn,37571
明晃晃,mínghuǎnghuǎng,21811
名单,míngdān,3706
名帖,míngtiě,53103
明慧,mínghuì,29853
名旦,míngdàn,34697
名头,míngtóu,24590
明火,mínghuǒ,26767
名额,míng'é,8475
名望,míngwàng,23854
明火执仗,mínghuǒzhízhàng,46933
名分,míngfèn,21005
名位,míngwèi,32089
明鉴,míngjiàn,47212
名副其实,míngfùqíshí,10676
名闻遐迩,míngwénxiá'ěr,37376
明胶,míngjiāo,25994
名贵,míngguì,15084
名物,míngwù,49166
明净,míngjìng,25925
名号,mínghào,20968
名下,míngxià,22516
明镜,míngjìng,22097
名讳,mínghuì,48784
名校,míngxiào,20620
明镜高悬,míngjìnggāoxuán,51815
名家,míngjiā,8028
名言,míngyán,10646
明快,míngkuài,14908
名将,míngjiàng,6732
名扬四海,míngyángsìhǎi,46634
明朗,mínglǎng,11614
名节,míngjié,31388
名扬中外,míngyángzhōngwài,52736
明理,mínglǐ,32091
名酒,míngjiǔ,26915
明丽,mínglì,27924
名句,míngjù,23968
名医,míngyī,19055
明亮,míngliàng,5402
明了,míngliǎo,12503
明志,míngzhì,44610
命令主义,mìnglìngzhǔyì,51816
明令,mínglìng,16877
明智,míngzhì,12069
命里注定,mìnglǐzhùdìng,38867
明码,míngmǎ,22202
明珠,míngzhū,9558
命脉,mìngmài,16300
明媒正娶,míngméizhèngqǔ,39496
明珠暗投,míngzhūàntóu,56552
命门,mìngmén,52225
明媚,míngmèi,12847
鸣,míng,4821
命名,mìngmíng,4664
明面,míngmiàn,48787
鸣不平,míngbùpíng,32600
命题,mìngtí,7428
明灭,míngmiè,41452
鸣笛,míngdí,28102
命途多舛,mìngtúduōchuǎn,55170
明明,míngmíng,5626
鸣放,míngfàng,14466
命相,mìngxiàng,33760
明眸皓齿,míngmóuhàochǐ,46028
鸣叫,míngjiào,21181
命运,mìngyùn,1465
明目张胆,míngmùzhāngdǎn,20502
鸣金收兵,míngjīnshōubīng,45733
命在旦夕,mìngzàidànxī,54116
明年,míngnián,2222
鸣锣开道,míngluókāidào,45734
命中注定,mìngzhōngzhùdìng,25118
明器,míngqì,56163
鸣炮,míngpào,45735
明前,míngqián,27669
鸣枪,míngqiāng,25552
命中,mìngzhòng,14098
明枪暗箭,míngqiāngànjiàn,52653
鸣禽,míngqín,52654
命中率,mìngzhònglǜ,23378
明抢,míngqiǎng,51014
鸣谢,míngxiè,56713
谬奖,miùjiǎng,54830
明渠,míngqú,25995
鸣冤,míngyuān,41226
谬论,miùlùn,17439
明确,míngquè,1022
鸣冤叫屈,míngyuānjiàoqū,46934
谬误,miùwù,20669
明人,míngrén,26768
鸣啭,míngzhuàn,50619
摸,mō,2013
明日,míngrì,7128
冥币,míngbì,47836
摸彩,mōcǎi,53104
明日黄花,míngrìhuánghuā,44141
冥钞,míngchāo,54631
摸底,mōdǐ,13201
明示,míngshì,24502
冥府,míngfǔ,46935
摸高,mōgāo,47837
明说,míngshuō,18889
冥器,míngqì,54632
摸黑儿,mōhēir,38287
明天,míngtiān,1155
冥寿,míngshòu,55650
摸奖,mōjiǎng,54117
明瓦,míngwǎ,47529
冥思,míngsī,37747
摸门儿,mōménr,55171
明文,míngwén,43393
冥思苦想,míngsīkǔxiǎng,37572
摸爬滚打,mōpágǔndǎ,24659
明晰,míngxī,12171
冥顽,míngwán,43135
摸索,mōsuǒ,7206
明细,míngxì,34841
冥顽不灵,míngwánbùlíng,50620
摸头,mōtóu,43907
明细表,míngxìbiǎo,43617
冥王星,míngwángxīng,39285
摸透,mōtòu,32044
明细账,míngxìzhàng,45443
冥想,míngxiǎng,29342
摸着石头过河,mōzheshítouguòhé,8674
明显,míngxiǎn,764
铭感,mínggǎn,51016
明信片,míngxìnpiàn,19948
铭记,míngjì,14430
摸准,mōzhǔn,35591
明星,míngxīng,4324
铭刻,míngkè,22460
馍,mó,12146
明星队,míngxīngduì,41453
铭文,míngwén,25617
馍馍,mómo,23690
明言,míngyán,48130
铭心,míngxīn,18282
摹本,móběn,46332
明眼人,míngyǎnrén,26620
瞑目,míngmù,24706
摹绘,móhuì,52226
明艳,míngyàn,43394
螟虫,míngchóng,45736
摹写,móxiě,40144
明喻,míngyù,56164
螟蛉,mínglíng,47530
模,mó,6602
明月,míngyuè,10749
酩酊大醉,mǐngdǐngdàzuì,34842
模范,mófàn,2882
明早,míngzǎo,24566
命,mìng,2122
模仿,mófǎng,7156
明朝,míngzhāo,7177
命案,mìng'àn,17474
模糊,móhu,4084
明哲保身,míngzhébǎoshēn,31056
命笔,mìngbǐ,39707
模块,mókuài,18003
明争暗斗,míngzhēngàndòu,36855
命薄,mìngbó,42128
模棱两可,móléngliǎngkě,26916
明证,míngzhèng,23286
命大,mìngdà,52224
模拟,mónǐ,5093
明知,míngzhī,8095
命定,mìngdìng,33245
模式,móshì,1586
明知故犯,míngzhīgùfàn,39706
命根子,mìnggēnzi,25049
模特儿,mótèr,21912
明知故问,míngzhīgùwèn,33489
命令,mìnglìng,1835
模型,móxíng,4527
模压,móyā,51017
魔术师,móshùshī,23855
抹墙,mòqiáng,56166
膜,mó,5676
魔头,mótóu,44612
茉莉,mòlì,31170
膜拜,móbài,31502
魔王,mówáng,29752
茉莉花,mòlìhuā,23804
摩擦,mócā,8994
魔影,móyǐng,44142
沫,mò,21473
摩擦力,mócālì,28103
魔芋,móyù,29753
沫儿,mòr,50272
摩登,módēng,20621
魔掌,mózhǎng,39708
沫子,mòzi,40785
摩的,módī,19750
魔杖,mózhàng,47838
陌路,mòlù,40342
摩肩接踵,mójiānjiēzhǒng,27766
魔障,mózhàng,49168
陌生,mòshēng,4475
摩拳擦掌,móquáncāzhǎng,27846
魔爪,mózhǎo,32601
脉脉,mòmò,35321
摩丝,mósī,44388
魔咒,mózhòu,18575
莫,mò,2907
摩挲,mósuō,44982
抹,mǒ,3892
莫不,mòbù,13990
摩天大楼,mótiāndàlóu,28949
抹脖子,mǒbózi,33112
莫不是,mòbùshì,31171
摩托,mótuō,13517
抹粉,mǒfěn,43136
莫测高深,mòcègāoshēn,42899
摩托车,mótuōchē,5143
抹黑,mǒhēi,23038
莫此为甚,mòcǐwéishèn,52227
摩托化,mótuōhuà,48478
抹灰,mǒhuī,40784
莫大,mòdà,12799
摩托艇,mótuōtǐng,30730
抹杀,mǒshā,21277
莫非,mòfēi,8975
磨,mó,3616
抹稀泥,mǒxīní,51817
莫过于,mòguòyú,14772
磨蹭,móceng,23907
抹子,mǒzi,53599
莫可名状,mòkěmíngzhuàng,52655
磨床,móchuáng,48131
末,mò,1717
莫名其妙,mòmíngqímiào,6523
磨刀霍霍,módāohuòhuò,50621
末儿,mòr,48480
莫明其妙,mòmíngqímiào,38923
磨刀石,módāoshí,48479
末班车,mòbānchē,35012
莫逆之交,mònìzhījiāo,43395
磨合,móhé,20670
末代,mòdài,28778
莫如,mòrú,20242
磨具,mójù,51018
末端,mòduān,17781
莫斯科,mòsīkē,3167
磨砺,mólì,18435
末伏,mòfú,56659
莫须有,mòxūyǒu,12699
磨炼,móliàn,17666
末后,mòhòu,32092
莫衷一是,mòzhōngyīshì,31057
磨灭,mómiè,29344
末节,mòjié,38674
秣马厉兵,mòmǎlìbīng,47213
磨难,mónàn,11532
末了,mòliǎo,14008
蓦地,mòdì,13436
磨人,mórén,44389
末流,mòliú,41906
蓦然,mòrán,16572
磨砂玻璃,móshābōli,54118
末路,mòlù,34418
漠不关心,mòbùguānxīn,23287
磨损,mósǔn,17851
末年,mònián,16321
漠不相关,mòbùxiāngguān,52656
磨洗,móxǐ,51019
末期,mòqī,12787
漠漠,mòmò,37573
磨牙,móyá,34559
末日,mòrì,18794
漠然,mòrán,21812
磨洋工,móyánggōng,48132
末梢,mòshāo,34277
漠然置之,mòránzhìzhī,44613
磨制,mózhì,44611
末世,mòshì,36053
漠视,mòshì,15892
磨嘴皮,mózuǐpí,53598
末尾,mòwěi,21719
墨,mò,5010
蘑菇,mógu,13060
末叶,mòyè,35760
墨宝,mòbǎo,36208
蘑菇云,móguyún,42371
末子,mòzi,46029
墨笔,mòbǐ,37028
魔,mó,7469
末座,mòzuò,49525
墨斗,mòdǒu,54633
魔法,mófǎ,24503
没,mò,15238
墨斗鱼,mòdǒuyú,54119
魔方,mófāng,41675
没齿不忘,mòchǐbùwàng,56165
墨盒,mòhé,28009
魔怪,móguài,48133
没落,mòluò,14467
墨黑,mòhēi,35166
魔鬼,móguǐ,9650
没奈何,mònàihé,13989
墨迹,mòjì,27063
魔幻,móhuàn,30292
没世,mòshì,51818
墨迹未干,mòjìwèigān,47214
魔窟,mókū,42898
没收,mòshōu,5476
墨家,mòjiā,39709
魔力,mólì,17114
抹,mò,13829
墨晶,mòjīng,54120
魔术,móshù,15819
抹不开,mòbukāi,46635
墨镜,mòjìng,22461
墨菊,mòjú,56167
谋虑,móulǜ,50623
木板,mùbǎn,8663
墨客,mòkè,36702
谋略,móulüè,17475
木版,mùbǎn,28104
墨绿,mòlǜ,27670
谋面,móumiàn,30959
木棒,mùbàng,26415
墨守成规,mòshǒuchéngguī,29533
谋求,móuqiú,7175
木本,mùběn,34699
墨水,mòshuǐ,17569
谋取,móuqǔ,10106
木材,mùcái,5548
墨线,mòxiàn,49526
谋杀,móushā,16147
木柴,mùchái,26769
墨鱼,mòyú,34560
谋生,móushēng,12775
木船,mùchuán,19583
墨汁,mòzhī,26334
谋士,móushì,32467
木呆呆,mùdāidāi,43396
墨竹,mòzhú,41676
谋事,móushì,29048
木雕,mùdiāo,21278
墨渍,mòzì,54121
谋私,móusī,29639
木耳,mù'ěr,23636
默,mò,9182
谋算,móusuàn,43618
木筏,mùfá,28105
默哀,mò'āi,25553
谋职,móuzhí,45445
木工,mùgōng,18852
默不作声,mòbùzuòshēng,29258
某,mǒu,593
木瓜,mùguā,26336
默祷,mòdǎo,38288
某个,mǒugè,6205
木棍,mùgùn,16459
默读,mòdú,51398
某某,mǒumǒu,9446
木化石,mùhuàshí,56170
默记,mòjì,45444
某人,mǒurén,17547
木屐,mùjī,40563
默默,mòmò,3427
某些,mǒuxiē,1397
木简,mùjiǎn,51020
默默无闻,mòmòwúwén,16423
模板,múbǎn,23691
木匠,mùjiàng,12070
默默无言,mòmòwúyán,32210
模具,mújù,18065
木槿,mùjǐn,53105
默念,mòniàn,25487
模样,múyàng,4249
木刻,mùkè,11981
默片,mòpiàn,54634
模子,múzi,28592
木兰,mùlán,5351
默契,mòqì,12179
母,mǔ,2189
木立,mùlì,55172
默然,mòrán,10534
母爱,mǔ'ài,16943
木莲,mùlián,50273
默认,mòrèn,21634
母本,mǔběn,34698
木料,mùliào,17253
默诵,mòsòng,39710
母畜,mǔchù,46333
木马,mùmǎ,23090
默算,mòsuàn,56168
母带,mǔdài,42621
木棉,mùmián,39079
默想,mòxiǎng,26565
母机,mǔjī,45446
木模,mùmú,47839
默写,mòxiě,44143
母老虎,mǔlǎohǔ,39078
木乃伊,mùnǎiyī,29259
默许,mòxǔ,24907
母女,mǔnǚ,10094
木讷,mùnè,32468
磨,mò,24981
母亲,mǔqīn,513
木偶,mù'ǒu,18890
磨叨,mòdao,48789
母亲节,mǔqīnjié,38485
木偶戏,mù'ǒuxì,41021
磨烦,mòfan,50622
母乳,mǔrǔ,23420
木排,mùpái,36209
磨坊,mòfáng,38289
母体,mǔtǐ,17494
木片,mùpiàn,36856
磨盘,mòpán,26993
母系,mǔxì,28679
木器,mùqì,24609
磨扇,mòshàn,49527
母校,mǔxiào,15582
木桥,mùqiáo,27279
哞,mōu,44390
母性,mǔxìng,26335
木琴,mùqín,51819
牟利,móulì,20388
母夜叉,mǔyèchā,45447
木然,mùrán,20969
牟取,móuqǔ,25378
母语,mǔyǔ,22656
木梳,mùshū,39497
眸子,móuzi,18795
母子,mǔzǐ,9183
木薯,mùshǔ,35483
谋,móu,1955
牡丹,mǔdan,9184
木栓,mùshuān,49169
谋财害命,móucáihàimìng,43137
牡丹花,mǔdanhuā,24840
木炭,mùtàn,20352
谋臣,móuchén,43908
牡蛎,mǔlì,23481
木糖醇,mùtángchún,52228
谋反,móufǎn,23089
亩,mǔ,930
木桶,mùtǒng,28506
谋害,móuhài,26183
亩产,mǔchǎn,9506
木头木脑,mùtóumùnǎo,49170
谋划,móuhuà,9936
拇指,mǔzhǐ,17516
木头,mùtou,8282
谋利,móulì,20389
木,mù,2165
木头人儿,mùtourénr,31276
木屋,mùwū,16921
牧放,mùfàng,56554
那,nā,53600
木樨,mùxi,48790
牧歌,mùgē,29854
拿,ná,280
木锨,mùxiān,49528
牧工,mùgōng,46334
拿办,nábàn,47217
木屑,mùxiè,34018
牧民,mùmín,6936
拿不准,nábuzhǔn,27352
木星,mùxīng,23288
牧区,mùqū,10116
拿大,nádà,56555
木已成舟,mùyǐchéngzhōu,39498
牧人,mùrén,26184
拿大顶,nádàdǐng,55174
木鱼,mùyú,30508
牧师,mùshī,11122
拿刀动杖,nádāodòngzhàng,55175
木桩,mùzhuāng,22048
牧童,mùtóng,28337
拿获,náhuò,42622
目,mù,2661
牧畜,mùxù,47215
拿架子,nájiàzi,48792
目标,mùbiāo,732
牧羊犬,mùyángquǎn,47216
拿来主义,náláizhǔyì,34843
目不忍睹,mùbùrěndǔ,45148
牧业,mùyè,16922
拿捏,nániē,39917
目不识丁,mùbùshídīng,37748
牧主,mùzhǔ,54122
拿腔拿调,náqiāngnádiào,52229
目不暇接,mùbùxiájiē,19988
募股,mùgǔ,51820
拿腔作势,náqiāngzuòshì,56172
目不斜视,mùbùxiéshì,36857
募化,mùhuà,52657
拿乔,náqiáo,56556
目不转睛,mùbùzhuǎnjīng,20503
募集,mùjí,11320
拿人,nárén,48134
目测,mùcè,36210
募捐,mùjuān,12351
拿手,náshǒu,19056
目次,mùcì,56553
墓,mù,3953
拿手好戏,náshǒuhǎoxì,33892
目瞪口呆,mùdèngkǒudāi,14622
墓碑,mùbēi,16396
拿手戏,náshǒuxì,45737
目的,mùdì,614
墓表,mùbiǎo,51021
拿问,náwèn,42623
目的地,mùdìdì,8592
墓道,mùdào,31389
拿下,náxià,7764
目的性,mùdìxìng,24383
墓地,mùdì,11223
拿一把,náyībǎ,36211
目睹,mùdǔ,8958
墓室,mùshì,23482
拿主意,názhǔyi,28680
目光,mùguāng,1503
墓穴,mùxué,27847
哪,nǎ,1147
目光短浅,mùguāngduǎnqiǎn,40786
墓葬,mùzàng,13872
哪儿,nǎr,2518
目光如豆,mùguāngrúdòu,56171
墓志,mùzhì,31390
哪个,nǎge,2553
目光如炬,mùguāngrújù,48791
墓志铭,mùzhìmíng,33761
哪会儿,nǎhuìr,56557
目击,mùjī,20843
墓冢,mùzhǒng,55173
哪里,nǎlǐ,976
目击者,mùjīzhě,15222
幕,mù,2699
哪能,nǎnéng,10575
目空一切,mùkōngyīqiè,35484
幕布,mùbù,30073
哪怕,nǎpà,5592
目力,mùlì,36538
幕府,mùfǔ,24908
哪些,nǎxiē,2964
目录,mùlù,6368
幕后,mùhòu,12337
哪样,nǎyàng,20275
目前,mùqián,342
幕僚,mùliáo,17879
那,nà,557
目送,mùsòng,16800
睦邻,mùlín,12473
那般,nàbān,16118
目无法纪,mùwúfǎjì,45448
慕,mù,11939
那边,nàbiān,3740
目眩,mùxuàn,29640
慕名,mùmíng,18664
那达慕,nàdámù,26416
目验,mùyàn,46030
暮霭,mù'ǎi,34700
那个,nàge,960
目中无人,mùzhōngwúrén,33490
暮春,mùchūn,26705
那会儿,nàhuìr,14232
仫佬族,mùlǎozú,46936
暮鼓晨钟,mùgǔchénzhōng,50624
那里,nàlǐ,667
牟,mù,14792
暮景,mùjǐng,53106
那么,nàme,269
沐浴,mùyù,11513
暮年,mùnián,27671
那么点儿,nàmediǎnr,43138
沐浴露,mùyùlù,54793
暮气,mùqì,35761
那么些,nàmexiē,29641
苜蓿,mùxu,19200
暮气沉沉,mùqìchénchén,50274
那么样,nàmeyàng,38486
牧,mù,6236
暮秋,mùqiū,46636
那么着,nàmezhe,38290
牧草,mùcǎo,12571
暮色,mùsè,14679
那儿,nàr,6201
牧场,mùchǎng,10465
穆,mù,13762
那时,nàshí,1391
牧笛,mùdí,51399
穆斯林,mùsīlín,7971
那些,nàxiē,299
那样,nàyàng,530
奶水,nǎishuǐ,27504
男男女女,nánnánnǚnǚ,18256
那阵儿,nàzhènr,20545
奶糖,nǎitáng,45449
男女,nánnǚ,2088
那阵子,nàzhènzi,28338
奶头,nǎitóu,32859
男女关系,nánnǚguānxì,30622
呐喊,nàhǎn,10006
奶腥,nǎixīng,55176
男女老少,nánnǚlǎoshào,15142
呐喊助威,nàhǎnzhùwēi,32327
奶羊,nǎiyáng,45738
男排,nánpái,13991
纳,nà,4307
奶油,nǎiyóu,22253
男朋友,nánpéngyou,10031
纳粹,nàcuì,9732
奶油小生,nǎiyóuxiǎoshēng,49529
男乒,nánpīng,47531
纳福,nàfú,48135
奶罩,nǎizhào,53601
男人,nánrén,5756
纳贡,nàgòng,46031
奶汁,nǎizhī,36858
男人,nánren,24983
纳罕,nàhǎn,55651
奶制品,nǎizhìpǐn,28106
男生,nánshēng,9993
纳贿,nàhuì,35322
奶子,nǎizi,23039
男声,nánshēng,36054
纳谏,nàjiàn,32999
奶嘴,nǎizuǐ,53602
男士,nánshì,15583
纳凉,nàliáng,26185
氖,nǎi,7591
男式,nánshì,32860
纳粮,nàliáng,43397
奈何,nàihé,7722
男双,nánshuāng,14664
纳闷,nàmèn,12816
耐,nài,3889
男性,nánxìng,6402
纳米,nàmǐ,7754
耐穿,nàichuān,48136
男性病,nánxìngbìng,54636
纳米技术,nàmǐjìshù,50625
耐烦,nàifán,34019
男婴,nányīng,30393
纳妾,nàqiè,34844
耐寒,nàihán,29642
男友,nányǒu,3771
纳入,nàrù,2896
耐旱,nàihàn,32602
男装,nánzhuāng,24707
纳税,nàshuì,5045
耐火,nàihuǒ,37377
男子,nánzǐ,1233
纳税人,nàshuìrén,5282
耐火砖,nàihuǒzhuān,45149
男子汉,nánzǐhàn,11361
纳西族,nàxīzú,27197
耐饥,nàijī,51400
男足,nánzú,29142
纳降,nàxiáng,49171
耐久,nàijiǔ,30392
男尊女卑,nánzūnnǚbēi,41907
纳新,nàxīn,44614
耐看,nàikàn,33491
南,nán,480
钠,nà,9976
耐劳,nàiláo,37029
南半球,nánbànqiú,25119
捺,nà,22203
耐力,nàilì,19555
南北,nánběi,3169
哪,na,5416
耐磨,nàimó,30182
南北朝,nánběicháo,19877
乃,nǎi,2255
耐热,nàirè,31172
南边,nánbian,13476
乃是,nǎishì,5041
耐人寻味,nàirénxúnwèi,15141
南部,nánbù,3100
乃至,nǎizhì,2715
耐心,nàixīn,4295
南昌,nánchāng,5617
乃至于,nǎizhìyú,29445
耐性,nàixìng,25379
南朝,náncháo,20780
奶,nǎi,3151
耐用,nàiyòng,18504
南方,nánfāng,2143
奶茶,nǎichá,30849
